FrameIndex,VisualStim,Stim0,Stim1,Position_X,Position_Y,Speed,Motion,Layer1,Layer1_Denoised,Layer2,Layer2_Denoised,Resistant,Resistant_Denoised,Behavior,Behavior_Denoised
358,0,0,0,7.028871329999999,26.85886122,4.16,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
359,0,0,0,7.22146734,26.91954732,12.12,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
360,0,0,0,7.26036162,27.003202512,5.54,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
361,0,0,0,7.5015538799999995,27.057679743,14.84,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
362,0,0,0,7.61290401,27.127067148000002,7.87,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
363,0,0,0,7.73991645,27.172183023,8.09,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
364,0,0,0,7.874108249999999,27.243470997,9.12,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
365,0,0,0,8.01111996,27.264819369,8.32,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
366,0,0,0,8.11807482,27.247785999,6.5,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
367,0,0,0,8.25314463,27.24018216,8.12,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
368,0,0,0,8.383476719999999,27.337085457,9.74,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
369,0,0,0,8.41053219,27.383026107,3.2,1,Layer1_Stationary,,Layer2_Walk,Layer2_Walk,,,Walk,Walk
370,0,0,0,8.42758566,27.505014093,7.39,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
371,0,0,0,8.587291530000002,27.57201612,10.39,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
372,0,0,0,8.73955518,27.594123558,9.23,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
373,0,0,0,8.76822531,27.62568444,2.56,1,Layer1_Stationary,,Layer2_Walk,Layer2_Walk,,,Walk,Walk
374,0,0,0,8.91885639,27.657075225,9.23,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
375,0,0,0,9.1347465,27.82032855,16.24,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
376,0,0,0,9.2846793,27.97353588,12.86,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
377,0,0,0,9.39979254,28.03400673,7.8,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
378,0,0,0,9.47178393,28.042208925,4.35,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
379,0,0,0,9.58066731,28.064396157,6.67,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
380,0,0,0,9.70736325,28.056792096,7.62,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
381,0,0,0,9.86006676,28.055976479999998,9.16,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
382,0,0,0,9.96634482,28.099575564,6.89,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
383,0,0,0,10.026839370000001,28.249627614,9.71,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
